objectid,title,creator,description,capturedate,latitude,longitude,subject,filetype,language,filename,filesize,format,measurement,uploaddate,rights,rightsstatement,alttext
rvphotos011,First Meal Overseas,"Rochford-Volk, Nolan",This object is a photograph of Jake at a restaurant in London. This was Jake and Nolan's first meal after landing in the United Kingdom. Jake is wearing a green Under Armor sweatshirt.,2024-03-10,51.517319,-0.130025,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,011_2024_London.jpg,2.6MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,This is a photograph of Jake wearing a green Under Armor sweatshirt at a restaurant in London. There is a cup of coffee on the table in front of him.
rvphotos012,Tall Walk up Calton Hill,"Rochford-Volk, Jake","This object is a photograph of Jake and Nolan standing on Calton Hill, with the Old and New Towns in the background of the photo. Jake is kissing Nolan's cheek. Nolan is wearing a brown Carhartt Sweatshirt and Jake is wearing a black Under Armor sweatshirt. ",2024-03-13,55.954235,-3.182278,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,012_2024_Edinburgh.jpg,3.9MB,image/jpg,3840x2160,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Jake and Nolan standing on Calton Hill, with the Old and New Towns in the background of the photo. Jake is kissing Nolan's cheek. Nolan is wearing a brown Carhartt Sweatshirt and Jake is wearing a black Under Armor sweatshirt. "
rvphotos013,Overlooking East Princes Street Gardens from National Galleries of Scotland ,"Rochford-Volk, Nolan","This object is a photograph from the basement of the National Galleries of Scotland overlooking the East Princes Street Gardens and the Scott Monument. Jake is the foreground of the picture, also taking a photograph on his phone. He is wearing a black sweatshirt and has a yellow backpack on. Another patron of the museum sits off to the right of the photograph.",2024-03-14,55.951647,-3.195505,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,013_2024_Edinburgh.jpg,2.8MB,image/jpg,4032x3024,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph taken from the basement of the National Galleries of Scotland overlooking the East Princes Street Gardens and the Scott Monument. Jake is the foreground of the picture, also taking a photograph on his phone. He is wearing a black sweatshirt and has a yellow backpack on. Another patron of the museum sits off to the right of the photograph."
rvphotos014,Bluebells at Katoski Greenbelt,"Rochford-Volk, Jake",This object is a photograph of the bluebells that bloom every spring in the Katoski Greenbelt in Waterloo. The Greenbelt is a favorite spot for Jake and Nolan to walk.,2024-04-21,42.472922,-92.405383,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,014_2024_Waterloo.jpg,9.1MB,image/jpg,4032x2268,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of freshly bloomed bluebells with bare trees in the background of the photo, creating stark contrast."
rvphotos015,Our Finished Rings,"Rochford-Volk, Jake","This object is a photograph of Jake and Nolan's completed rings, with Nolan's on the left and Jake's on the right. They are identical except Jake's has a green saphire and Nolan has a blue one, and the two golds are inverted from one another. ",2024-04-22,41.842220,-87.949720,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,015_2024_OakBrook.jpg,458KB,image/jpg,1440x1080,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Jake and Nolan's completed rings, with Nolan's on the left and Jake's on the right. They are identical except Jake's has a green saphire and Nolan has a blue one, and the two golds are inverted from one another. "
rvphotos016,Eating at El Tapatio in Waverly,"Rochford-Volk, Nolan","This object is a photograph of Jake at El Tapatio, a Mexican restaurant in Waverly. This restaurant is one of their favorites, and is worth the 20 minute drive from their home in Waterloo. This photo also represent's Nolan's conversion to a Mexican food lover because of Jake's passion for it. Jake is seen here in a green baseball cap that reads ""Plant Dad,"" sunglasses, and a burgundy t-shirt.",2024-07-07,42.706067,-92.476409,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,016_2024_Waverly.jpg,2.7MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Jake in a green baseball cap that reads ""Plant Dad,"" sunglasses, and a burgundy t-shirt. There are two margaritas on the table in front of him as well as guacamole and salsa."
rvphotos017,Wedding Day (1 Year Early),"Rochford-Volk, Nolan","This object is a photograph of Jake and Nolan on the day of their elopement, one year exactly before their anticipated wedding date of September 20, 2025. Fearing the loss of their right to marriage, Jake and Nolan chose to elope and got married with friends as their witnesses. ",2024-09-20,42.468874,-91.892262,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,017_2024_Independence.jpg,3.0MB,image/jpg,4032x3024,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,This is a photograph of Jake and Nolan on their wedding day. They are both wearing green sweaters in slightly different shades.
rvphotos018,Wedding Day Brunch at Patton,"Rochford-Volk, Nolan","This object is a photograph of Jake and Nolan celebrating with champagne and friends at Patton, a restaurant in Cedar Falls. Nolan is wearing a green button-up and Jake is a wearing a green and blue flannel.",2024-09-20,42.535391,-92.445705,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,018_2024_CedarFalls.jpg,2.4MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Jake and Nolan celebrating with champagne and friends at Patton, a restaurant in Cedar Falls. Nolan is wearing a green button-up and Jake is a wearing a green and blue flannel."
rvphotos019,Visiting Aaron and MP in Denver,"Rochford-Volk, Nolan","This object is a photograph taken inside a restaurant in Denver with, from left to right, Aaron Volk, Savannah Volk, Nolan Rochford-Volk, María Paula Vargas Ávila, and Jake Rochford-Volk.",2024-10-24,39.743050,-104.970011,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,019_2024_Denver.jpg,3.2MB,image/jpg,4032x3024,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of, from left to right, Aaron Volk, Savannah Volk, Nolan Rochford-Volk, María Paula Vargas Ávila, and Jake Rochford-Volk. The photo is taken ina restaraunt, with many empty plates on the table. "
rvphotos020,Touring the Ice Castle in Minnesota,"Rochford-Volk, Nolan","This object is a photograph of Cassidy Brunscheon, Jake Rochford-Volk, and Nolan Rochford-Volk at an Ice Castle in Falcon Heights. The background of the photograph is mostly obsured, with all that can be seen is the top of a blue ice sculpture and tall walls made of similar blue ice.",2025-01-18,44.970017,-93.289131,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,020_2025_FalconHeights.jpg,2.3MB,image/jpg,4032x3024,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Cassidy Brunsheon, Jake Rochford-Volk, and Nolan Rochford-Volk. Casidy is in the foreground of the picture in a gray hat and black coat. Jake is wearing a brown leather jacket and sunglasses, and Nolan is wearing a gray Iowa Hawkeyes stocking hat with a black winter coat. "
rvphotos021,New Car Day,"Rochford-Volk, Jake","This object is a photograph of Nolan in front of his new (to him) 2021 Chevy Blazer. Fearing rising vehicle costs because of tarriffs, Nolan and Jake spent a day test driving cars before settling on a vehicle in Cedar Rapids. ",2025-04-01,42.026047,-91.667247,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,021_2025_CedarRapids.jpg,4.0MB,image/jpg,4032x2268,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Nolan in front of his new (to him) 2021 Chevy Blazer. He is wearing a gray sweatshirt and black sweatpants, both Nike."
